Calif Tattoo,Age,Breed,PWG,D1,D2,D3,DR1,DR2,Y,mu,ed2,ed3,ed4,ed5,AN,HE,SM
16K,2,AN,346,0,0,0,0,0,346,1,1,0,0,0,1,0,0
18K,3,AN,355,1,0,0,0,0,355,1,0,1,0,0,1,0,0
22K,4,AN,363,0,1,0,0,0,363,1,0,0,1,0,1,0,0
101L,5+,HE,388,0,0,1,1,0,388,1,0,0,0,1,0,1,0
121L,5+,HE,384,0,0,1,1,0,384,1,0,0,0,1,0,1,0
98L,2,HE,366,0,0,0,1,0,366,1,1,0,0,0,0,1,0
115L,3,HE,371,1,0,0,1,0,371,1,0,1,0,0,0,1,0
117L,3,HE,375,1,0,0,1,0,375,1,0,1,0,0,0,1,0
52J,4,SM,412,0,1,0,0,1,412,1,0,0,1,0,0,0,1
49J,5+,SM,429,0,0,1,0,1,429,1,0,0,0,1,0,0,1
63J,2,SM,396,0,0,0,0,1,396,1,1,0,0,0,0,0,1
70J,2,SM,404,0,0,0,0,1,404,1,1,0,0,0,0,0,1
