A,B,resp,m,A1,A2,B1,B2,B3,A1B1,A1B2,A1B3,A2B1,A2B2,A2B3
1,1,17,1,1,0,1,0,0,1,0,0,0,0,0
1,2,19,1,1,0,0,1,0,0,1,0,0,0,0
1,3,29,1,1,0,0,0,1,0,0,1,0,0,0
1,1,14,1,1,0,1,0,0,1,0,0,0,0,0
1,2,20,1,1,0,0,1,0,0,1,0,0,0,0
1,3,31,1,1,0,0,0,1,0,0,1,0,0,0
1,1,16,1,1,0,1,0,0,1,0,0,0,0,0
1,2,21,1,1,0,0,1,0,0,1,0,0,0,0
1,3,35,1,1,0,0,0,1,0,0,1,0,0,0
1,1,15,1,1,0,1,0,0,1,0,0,0,0,0
1,2,18,1,1,0,0,1,0,0,1,0,0,0,0
1,3,22,1,1,0,0,0,1,0,0,1,0,0,0
2,1,13,1,0,1,1,0,0,0,0,0,1,0,0
2,2,17,1,0,1,0,1,0,0,0,0,0,1,0
2,3,18,1,0,1,0,0,1,0,0,0,0,0,1
2,1,9,1,0,1,1,0,0,0,0,0,1,0,0
2,2,19,1,0,1,0,1,0,0,0,0,0,1,0
2,3,22,1,0,1,0,0,1,0,0,0,0,0,1
2,1,8,1,0,1,1,0,0,0,0,0,1,0,0
2,2,18,1,0,1,0,1,0,0,0,0,0,1,0
2,3,24,1,0,1,0,0,0,0,0,0,0,0,0
2,1,12,1,0,1,1,0,0,0,0,0,1,0,0
2,2,18,1,0,1,0,1,0,0,0,0,0,1,0
2,3,23,1,0,1,0,0,1,0,0,0,0,0,1
