Tratamiento,Vaca,Replica,Y,XT1,XT2,ZA,ZB,ZC,ZD
1,A,R1,451,1,0,1,0,0,0
1,A,R2,456,1,0,1,0,0,0
1,A,R3,462,1,0,1,0,0,0
1,A,R4 ,449,1,0,1,0,0,0
1,A,R5,455,1,0,1,0,0,0
1,B,R1,472,1,0,0,1,0,0
1,B,R2,469,1,0,0,1,0,0
1,B,R3,476,1,0,0,1,0,0
1,B,R4 ,467,1,0,0,1,0,0
1,B,R5,462,1,0,0,1,0,0
2,C,R1,481,0,1,0,0,1,0
2,C,R2,475,0,1,0,0,1,0
2,C,R3,482,0,1,0,0,1,0
2,C,R4 ,489,0,1,0,0,1,0
2,C,R5,483,0,1,0,0,1,0
2,D,R1,510,0,1,0,0,0,1
2,D,R2,502,0,1,0,0,0,1
2,D,R3,499,0,1,0,0,0,1
2,D,R4 ,507,0,1,0,0,0,1
2,D,R5,501,0,1,0,0,0,1
